x_local,y_local,utm_e,utm_n,lon,lat,rl
157.863,96.799,706264.790,953814.700,76.8743858,8.6242311,69.068
157.973,310.219,706264.900,954028.120,76.8743963,8.6261605,81.886
158.313,140.489,706265.240,953858.390,76.8743918,8.6246261,69.605
158.603,198.759,706265.530,953916.660,76.8743970,8.6251529,70.549
158.643,108.559,706265.570,953826.460,76.8743934,8.6243374,69.418
158.673,149.319,706265.600,953867.220,76.8743955,8.6247059,69.999
158.843,145.239,706265.770,953863.140,76.8743968,8.6246690,69.946
159.233,124.289,706266.160,953842.190,76.8743994,8.6244796,69.323
159.323,128.309,706266.250,953846.210,76.8744004,8.6245159,69.120
159.433,100.509,706266.360,953818.410,76.8744002,8.6242646,69.408
159.453,303.839,706266.380,954021.740,76.8744094,8.6261028,81.730
159.893,192.139,706266.820,953910.040,76.8744085,8.6250930,70.613
160.043,192.219,706266.970,953910.120,76.8744098,8.6250937,70.804
160.243,120.519,706267.170,953838.420,76.8744084,8.6244455,68.840
160.303,321.719,706267.230,954039.620,76.8744180,8.6262644,85.858
160.333,236.719,706267.260,953954.620,76.8744144,8.6254960,71.861
161.103,114.069,706268.030,953831.970,76.8744160,8.6243871,69.084
161.283,205.739,706268.210,953923.640,76.8744217,8.6252159,70.629
161.553,109.699,706268.480,953827.600,76.8744199,8.6243476,69.428
161.863,133.889,706268.790,953851.790,76.8744237,8.6245663,69.369
162.543,197.659,706269.470,953915.560,76.8744328,8.6251428,70.768
162.633,315.379,706269.560,954033.280,76.8744388,8.6262070,82.002
163.133,95.309,706270.060,953813.210,76.8744336,8.6242174,69.068
163.393,305.729,706270.320,954023.630,76.8744453,8.6261197,81.606
163.403,117.389,706270.330,953835.290,76.8744370,8.6244170,68.874
163.693,143.689,706270.620,953861.590,76.8744408,8.6246548,69.933
164.103,214.329,706271.030,953932.230,76.8744477,8.6252934,70.813
164.153,125.549,706271.080,953843.450,76.8744442,8.6244908,69.312
164.153,323.259,706271.080,954041.160,76.8744530,8.6262782,85.923
164.273,139.409,706271.200,953857.310,76.8744459,8.6246161,69.493
164.433,191.209,706271.360,953909.110,76.8744497,8.6250844,70.742
164.873,295.139,706271.800,954013.040,76.8744583,8.6260239,79.889
164.923,121.879,706271.850,953839.780,76.8744510,8.6244576,69.297
164.983,204.199,706271.910,953922.100,76.8744552,8.6252018,70.660
165.343,245.379,706272.270,953963.280,76.8744603,8.6255740,72.011
165.463,97.549,706272.390,953815.450,76.8744548,8.6242376,69.210
165.623,132.299,706272.550,953850.200,76.8744578,8.6245517,69.373
165.743,132.299,706272.670,953850.200,76.8744589,8.6245517,69.325
165.953,112.889,706272.880,953830.790,76.8744600,8.6243762,69.136
166.053,161.879,706272.980,953879.780,76.8744631,8.6248191,70.344
166.303,317.089,706273.230,954034.990,76.8744723,8.6262223,81.993
166.373,117.029,706273.300,953834.930,76.8744640,8.6244137,69.043
166.413,166.869,706273.340,953884.770,76.8744666,8.6248642,70.404
166.773,171.859,706273.700,953889.760,76.8744700,8.6249093,70.464
166.933,153.029,706273.860,953870.930,76.8744707,8.6247391,70.232
166.953,208.259,706273.880,953926.160,76.8744733,8.6252384,70.616
167.413,320.859,706274.340,954038.760,76.8744825,8.6262563,85.846
167.503,181.829,706274.430,953899.730,76.8744771,8.6249994,70.584
167.603,325.309,706274.530,954043.210,76.8744844,8.6262965,86.010
168.263,196.149,706275.190,953914.050,76.8744847,8.6251288,70.524
168.323,296.719,706275.250,954014.620,76.8744897,8.6260380,81.005
168.553,92.959,706275.480,953810.860,76.8744827,8.6241960,68.933
169.643,115.789,706276.570,953833.690,76.8744936,8.6244023,68.871
169.723,192.209,706276.650,953910.110,76.8744977,8.6250932,70.704
169.753,308.629,706276.680,954026.530,76.8745032,8.6261456,81.476
169.853,117.429,706276.780,953835.330,76.8744956,8.6244171,69.005
170.113,138.149,706277.040,953856.050,76.8744989,8.6246044,69.544
170.153,132.199,706277.080,953850.100,76.8744990,8.6245506,69.407
170.353,254.039,706277.280,953971.940,76.8745062,8.6256521,72.160
170.533,300.249,706277.460,954018.150,76.8745099,8.6260699,81.272
170.593,202.389,706277.520,953920.290,76.8745061,8.6251852,70.618
170.753,120.949,706277.680,953838.850,76.8745039,8.6244489,69.305
170.783,292.209,706277.710,954010.110,76.8745118,8.6259972,78.332
170.813,111.719,706277.740,953829.620,76.8745041,8.6243655,69.188
171.403,328.009,706278.330,954045.910,76.8745191,8.6263208,85.807
171.583,313.139,706278.510,954031.040,76.8745200,8.6261863,81.626
171.733,125.629,706278.660,953843.530,76.8745130,8.6244912,69.281
171.863,142.069,706278.790,953859.970,76.8745150,8.6246398,69.870
172.223,267.379,706279.150,953985.280,76.8745238,8.6257726,73.865
172.343,323.189,706279.270,954041.090,76.8745274,8.6262772,85.947
172.843,232.319,706279.770,953950.220,76.8745279,8.6254556,71.183
173.013,158.249,706279.940,953876.150,76.8745261,8.6247860,70.148
173.093,131.459,706280.020,953849.360,76.8745257,8.6245438,69.364
173.243,194.759,706280.170,953912.660,76.8745298,8.6251161,70.699
173.553,90.959,706280.480,953808.860,76.8745280,8.6241777,68.900
173.923,304.239,706280.850,954022.140,76.8745409,8.6261058,81.304
174.253,298.739,706281.180,954016.640,76.8745437,8.6260560,81.191
174.723,119.019,706281.650,953836.920,76.8745399,8.6244313,69.017
175.023,317.609,706281.950,954035.510,76.8745515,8.6262266,85.882
175.093,124.459,706282.020,953842.360,76.8745435,8.6244804,69.376
175.273,93.709,706282.200,953811.610,76.8745438,8.6242024,69.391
175.273,271.059,706282.200,953988.960,76.8745517,8.6258058,74.060
175.373,145.989,706282.300,953863.890,76.8745470,8.6246751,70.535
175.393,289.449,706282.320,954007.350,76.8745536,8.6259720,77.087
175.513,142.869,706282.440,953860.770,76.8745481,8.6246469,70.130
175.623,331.169,706282.550,954049.070,76.8745575,8.6263492,85.752
175.673,110.539,706282.600,953828.440,76.8745482,8.6243546,69.239
175.703,129.499,706282.630,953847.400,76.8745493,8.6245260,69.345
175.863,325.819,706282.790,954043.720,76.8745595,8.6263008,86.068
175.893,302.989,706282.820,954020.890,76.8745587,8.6260944,81.196
176.193,289.099,706283.120,954007.000,76.8745608,8.6259688,76.854
176.503,308.899,706283.430,954026.800,76.8745645,8.6261478,81.303
176.673,223.259,706283.600,953941.160,76.8745623,8.6253736,71.698
176.823,297.059,706283.750,954014.960,76.8745669,8.6260407,84.955
176.903,191.269,706283.830,953909.170,76.8745629,8.6250843,70.573
176.943,294.059,706283.870,954011.960,76.8745679,8.6260136,80.861
177.003,303.439,706283.930,954021.340,76.8745688,8.6260984,81.152
177.213,241.319,706284.140,953959.220,76.8745680,8.6255368,71.367
177.443,263.929,706284.370,953981.830,76.8745711,8.6257412,72.324
177.553,166.699,706284.480,953884.600,76.8745677,8.6248622,70.052
177.713,150.479,706284.640,953868.380,76.8745685,8.6247156,70.068
178.523,316.979,706285.450,954034.880,76.8745833,8.6262207,85.846
178.543,328.319,706285.470,954046.220,76.8745839,8.6263233,86.011
178.613,125.759,706285.540,953843.660,76.8745755,8.6244920,69.350
178.763,138.649,706285.690,953856.550,76.8745775,8.6246086,69.631
178.773,88.959,706285.700,953806.860,76.8745754,8.6241593,68.869
178.863,132.569,706285.790,953850.470,76.8745781,8.6245536,69.339
179.033,266.599,706285.960,953984.500,76.8745856,8.6257653,72.368
179.063,310.329,706285.990,954028.230,76.8745879,8.6261606,81.245
179.173,157.889,706286.100,953875.790,76.8745821,8.6247825,70.316
179.313,119.599,706286.240,953837.500,76.8745816,8.6244363,69.323
179.443,291.399,706286.370,954009.300,76.8745905,8.6259895,76.170
179.503,295.479,706286.430,954013.380,76.8745912,8.6260263,80.808
179.893,92.759,706286.820,953810.660,76.8745857,8.6241936,68.984
179.913,334.789,706286.840,954052.690,76.8745967,8.6263817,85.636
180.163,313.289,706287.090,954031.190,76.8745980,8.6261873,81.227
180.213,287.279,706287.140,954005.180,76.8745973,8.6259522,76.094
180.343,307.059,706287.270,954024.960,76.8745993,8.6261310,81.163
180.473,321.779,706287.400,954039.680,76.8746012,8.6262641,85.865
180.503,115.149,706287.430,953833.050,76.8745922,8.6243960,69.591
180.533,109.359,706287.460,953827.260,76.8745923,8.6243437,69.291
180.773,195.539,706287.700,953913.440,76.8745983,8.6251228,70.552
180.853,203.849,706287.780,953921.750,76.8745994,8.6251979,70.632
180.893,208.179,706287.820,953926.080,76.8745999,8.6252370,70.934
181.133,276.609,706288.060,953994.510,76.8746052,8.6258557,74.056
181.143,286.929,706288.070,954004.830,76.8746057,8.6259490,75.970
181.353,104.429,706288.280,953822.330,76.8745995,8.6242991,69.215
181.563,301.499,706288.490,954019.400,76.8746102,8.6260807,81.069
181.573,298.209,706288.500,954016.110,76.8746101,8.6260509,81.095
181.583,298.179,706288.510,954016.080,76.8746102,8.6260507,82.195
181.893,144.899,706288.820,953862.800,76.8746062,8.6246649,70.391
181.953,223.309,706288.880,953941.210,76.8746102,8.6253738,71.393
182.063,325.219,706288.990,954043.120,76.8746158,8.6262951,85.862
182.263,331.199,706289.190,954049.100,76.8746179,8.6263491,85.863
182.493,212.919,706289.420,953930.820,76.8746147,8.6252798,71.236
182.603,96.959,706289.530,953814.860,76.8746105,8.6242315,69.100
182.623,189.409,706289.550,953907.310,76.8746148,8.6250673,70.610
182.853,335.969,706289.780,954053.870,76.8746234,8.6263922,85.723
182.863,310.549,706289.790,954028.450,76.8746224,8.6261624,81.088
182.963,136.749,706289.890,953854.650,76.8746155,8.6245912,69.880
183.003,127.689,706289.930,953845.590,76.8746155,8.6245093,69.783
183.213,263.409,706290.140,953981.310,76.8746235,8.6257362,71.782
183.383,288.779,706290.310,954006.680,76.8746261,8.6259656,75.810
183.403,116.659,706290.330,953834.560,76.8746186,8.6244096,69.426
183.483,318.919,706290.410,954036.820,76.8746284,8.6262381,81.197
183.523,200.239,706290.450,953918.140,76.8746235,8.6251651,70.612
183.633,296.699,706290.560,954014.600,76.8746288,8.6260372,75.853
